,event,Title,Location,Date,Summary,Fatalities,Injured,Total victims,Mental Health Issues,Race,Gender,Latitude,Longitude,year,month,week,day
233,234,Lockheed Martin shooting,"Meridian, Mississippi",2003-07-08,"Assembly line worker Douglas Williams, 48, opened fire at his Lockheed Martin workplace in a racially motivated attack before committing suicide.",7,8,15,Yes,white,Male,32.376081,-88.68978002,2003,7,28,Tuesday
234,235,Case Western Reserve University,"Cleveland, Ohio",2003-05-09,"On May 9, 2003, a graduate of the Case Western Reserve University in Cleveland, Ohio began shooting on the school grounds, killing a student and wounding a professor and another student. He was later arrested after holding a building hostage for seven hours.",1,2,3,No,Asian American,Male,41.47657557,-81.68051502,2003,5,19,Friday
235,236,University of Arizona College of Nursing,"Tucson, Arizona",2002-10-28,"On October 28, 2002, a 41-year-old nursing student failing out of his classes University of Arizona College of Nursing in Tucson, Arizona arrived on campus and shot three of his professors, killing them all, before committing suicide.",4,0,3,No,Some other race,Male,32.15358905,-110.96776470000002,2002,10,44,Monday
236,237,Appalachian School of Law,"Grundy, Virginia",2002-01-16,"On January 16, 2002, a 43-year-old former student of the Appalachian School of Law in Grundy, Virginia arrived on campus and began shooting. He killed the dean, a professor, a student and wounded three others before being arrested.",3,3,6,No,Black American or African American,Male,37.27537712,-82.09877234,2002,1,3,Wednesday
237,238,Santana High School,"Santee, San Diego, California",2001-03-05,"On March 5, 2001, a 15-year-old student of Santana High School in San Diego, California arrived to school and began shooting at his fellow classmates. Two students were killed and thirteen others were wounded before the shooter was taken into custody.",2,13,15,No,White American or European American,Male,32.86357277,-117.1281628,2001,3,10,Monday
238,239,Navistar International,"Melrose Park, Illinois",2001-02-05,"On February 5, 2001, a 66-year-old fired employee arrived at his former workplace at Navistar in Melrose Park, Illinois with firearms, forced his way past security and began shooting at supervisors and coworkers before committing suicide. He had been scheduled to begin a prison sentence the next day on charges of stealing from his employer.",6,4,9,No,Black American or African American,Male,41.90289602,-87.86430209999999,2001,2,6,Monday
239,240,Wakefield massacre,"Wakefield, Massachusetts",2000-12-26,"Michael McDermott, 42, opened fire on co-workers at Edgewater Technology and was later arrested.",7,0,7,Yes,white,Male,42.506484,-71.0728306,2000,12,52,Tuesday
240,241,Radisson Bay Harbor Inn,"Tampa, Florida",1999-12-30,"On December 30, 1999, a 36-year-old employee of the Radisson Bay Harbor Inn in Tampa, Florida arrived at his place of work and began shooting his coworkers, killing four and wounding three others. He fled the scene and attempted to steal a vehicle, killing the woman inside before being arrested.",5,3,8,No,Some other race,Male,27.99601861,-82.44503769,1999,12,52,Thursday
241,242,Fort Gibson Middle School,"Fort Gibson, Oklahoma",1999-12-06,"On December 6, 1999, a 13-year-old student at Fort Gibson Middle School in Fort Gibson, Oklahoma opened fire on his classmates for no apparent reason, wounding four before being stopped by a teacher and taken into custody.",0,4,4,No,White American or European American,Male,35.77669911,-95.25996596,1999,12,49,Monday
242,243,Xerox killings,"Honolulu, Hawaii",1999-11-02,"Byran Koji Uyesugi, 40, a Xerox service technician, opened fire inside the building with a 9mm Glock. He fled and was later apprehended by police.",7,0,7,Yes,Asian,Male,21.3255125,-157.8473055,1999,11,44,Tuesday
243,244,Wedgwood Baptist Church,"Fort Worth, Texas",1999-09-15,"On September 15,1999, a 47-year-old man entered the Wedgwood Baptist Church in Fort Worth, Texas during a prayer rally and began shooting, killing seven and wounding seven others before killing himself.",8,7,14,Yes,White American or European American,Male,32.74802142,-97.31305148,1999,9,37,Wednesday
244,245,Offices of All-Tech Investment Group and Momentum Securities,"Atlanta, Georgia",1999-07-29,"On July 29, 1999, after murdering his wife and children in their home in Atlanta, Georgia over the prior two days, a 44-year-old day trader entered a stock exchange office, killing four and moving on to another office, where he killed an additional five and wounded twelve. He was pursued by police until he committed suicide at a gas station. ",10,12,21,Yes,White American or European American,Male,33.7629969,-84.4231328,1999,7,30,Thursday
245,246,Heritage High School,"Conyers, Georgia",1999-05-20,"On May 20. 1999, a 15-year-old student of Heritage High School in Conyers, Georgia arrived on campus and began shooting his fellow students as he was upset over a breakup with his girlfriend. He non-fatally wounded six students before being arrested.",0,6,6,No,White American or European American,Male,33.66086267,-84.02688527,1999,5,20,Thursday
246,247,Columbine High School,"Littleton, Colorado",1999-04-20,"On April 20, 1999, two students ages 17 and 18 arrived on their campus at Columbine High School in Littleton, Colorado, planning to kill hundreds of their peers and teachers. After two large propane tank bombs failed to explode, the students began shooting at their classmates, killing twelve and a teacher and wounding twenty-four others. The incident ended when the students killed themselves simultaneously in the library.",15,24,37,Yes,White American or European American,Male,39.59358263,-105.0152112,1999,4,16,Tuesday
247,248,Riverside City Hall,"Riverside, California",1998-10-06,"On October 6, 1998, a 48-year-old U.S. Postal Service employee entered a conference room at City Hall in Riverside, California and began shooting. He wounded the mayor, two council members and three police officers before being shot by police and taken into custody.",0,6,6,No,Black American or African American,Male,33.93814348,-117.3948409,1998,10,41,Tuesday
248,249,Thurston High School,"Springfield, Oregon",1998-05-21,"On May 21, 1998, a 15-year-old student at Thurston High School in Springfield, Oregon arrived on campus the day after killing both his parents with firearms in their home. He began shooting at the students, killing two and wounding twenty-five others before being arrested.",4,25,29,Yes,White American or European American,Male,44.05489698,-123.0075562,1998,5,21,Thursday
249,250,Parker Middle School Dance,"Edinboro, Pennsylvania",1998-04-24,"On April 24, 1998, a 14-year-old student of Park Middle School in Edinboro, Pennsylvania was attending the end-of-the-year dance at an off-campus banquet hall. The student pulled his father's gun from a pocket and began shooting, killing a teacher and wounding another and two students before being arrested.",1,3,4,Yes,White American or European American,Male,41.87617136,-80.12459632,1998,4,17,Friday
250,251,Westside Middle School killings,"Jonesboro, Arkansas",1998-03-24,"Mitchell Scott Johnson, 13, and Andrew Douglas Golden, 11, two juveniles, ambushed students and teachers as they left the school; they were apprehended by police at the scene.",5,10,15,No,white,Male,35.8209895,-90.6682606,1998,3,13,Tuesday
251,252,Connecticut State Lottery Headquarters,"Newington, Connecticut",1998-03-06,"On March 6, 1998, a 35-year-old disgruntled employee of the State Lottery in Newington, Connecticut arrived at his workplace and began shooting. He killed four of his coworkers and supervisors before committing suicide.",5,0,4,Yes,White American or European American,Male,41.68700845,-72.73083927,1998,3,10,Friday
